RANGERDIST,REGION,FORESTNUMB,DISTRICTNU,DISTRICTOR,FORESTNAME,DISTRICTNA,GIS_ACRES,SHAPE_AREA,SHAPE_LEN
99080907010343,08,09,07,080907,Ouachita National Forest,Mena Ranger District,246863.452,0.0981439581057,3.15760872829
99080910010343,08,09,10,080910,Ouachita National Forest,Womble Ranger District,248260.863,0.0986661348315,2.56117029144
99041907010343,04,19,07,041907,Uinta-Wasatch-Cache National Forest,Logan Ranger District,368949.682,0.161647170669,2.77985745622
99080601010343,08,06,01,080601,Kisatchie National Forest,Catahoula Ranger District,188377.981,0.0724298812113,1.48973434359
99080603010343,08,06,03,080603,Kisatchie National Forest,Kisatchie Ranger District,175685.477,0.0674771040745,1.23584334096
99080602010343,08,06,02,080602,Kisatchie National Forest,Calcasieu Ranger District,312685.71,0.119642674992,2.49133991777
99080604010343,08,06,04,080604,Kisatchie National Forest,Winn Ranger District,326794.784,0.12609895804,3.33885455775
99081601010343,08,16,01,081601,El Yunque National Forest,Catalina Field Office,55812.38,0.0193002120762,0.753808977646
99080216010343,08,02,16,080216,Daniel Boone National Forest,Stearns Ranger District,379986.66,0.15514750033,2.96694795518
99081301010343,08,13,01,081301,National Forests in Texas,Angelina Ranger District,398144.431,0.152518937743,3.73271508414
99080405010343,08,04,02,080402,Cherokee National Forest,Unaka Ranger District,342490.045,0.13857209348,3.42569516663
99080404010343,08,04,04,080404,Cherokee National Forest,Tellico Ranger District,216849.621,0.0870519987792,1.8154684196
99080403010343,08,04,03,080403,Cherokee National Forest,Ocoee Ranger District,240197.27,0.0961337279495,1.82321202649
99080406010343,08,04,06,080406,Cherokee National Forest,Watauga Ranger District,428755.69,0.174291494648,2.76389423285
6ec8aa15-61d4-4862-9b02-f2cfd4438ca7,08,01,06,080106,National Forests in Alabama,Talladega Ranger District,247901.559,0.0971488446418,1.88974794905
